iters,sse,tempo
13,23.491154,534.3
13,23.491154,554.8
13,23.491154,527.7
13,23.491154,511.7
13,23.491154,523.8
13,23.491154,553.1
13,23.491154,539.5
13,23.491154,560.9
13,23.491154,518.3
13,23.491154,559.9
13,23.491154,528.0
13,23.491154,552.2
13,23.491154,528.3
13,23.491154,540.2
13,23.491154,544.0
13,23.491154,545.0
13,23.491154,518.3
13,23.491154,493.1
13,23.491154,536.4
13,23.491154,555.7
