execucao,tempo_total_ms,allreduce_ms
1,592.8,1.507
2,597.1,1.308
3,593.5,1.291
4,570.0,1.322
5,590.5,1.412
6,591.3,1.416
7,592.2,1.412
8,609.6,1.610
9,598.6,1.314
10,578.9,1.376
11,614.9,1.634
12,604.1,1.424
13,594.6,1.352
14,568.1,1.131
15,605.0,1.294
16,606.0,1.355
17,578.0,1.331
18,606.4,1.287
19,588.7,1.384
20,615.8,1.301
