execucao,tempo_total_ms,allreduce_ms
1,686.7,1.210
2,711.1,1.194
3,705.6,1.169
4,740.1,1.146
5,678.2,1.171
6,717.5,1.280
7,710.8,1.086
8,713.5,1.099
9,715.6,1.042
10,710.0,1.186
11,681.5,1.242
12,683.4,1.144
13,697.0,1.124
14,693.9,1.026
15,701.5,1.236
16,742.3,1.217
17,884.3,3.388
18,702.7,1.334
19,689.3,1.222
20,713.5,1.136
