,N processos,Méd tempo total,DPP,N,K
0,1,1784.2549999999997,811.8709558304524,16000,9000
1,2,908.9699999999999,46.17337008778066,16000,9000
2,4,595.15,11.925492376461982,16000,9000
3,1,306.67,5.355381509389515,8000,4500
4,2,192.27,5.9430725312006025,8000,4500
5,4,506.69000000000005,1134.3934604987028,8000,4500
6,1,6829.859999999999,1502.5231358544127,32000,18000
7,2,3744.4200000000005,1151.7239125183894,32000,18000
8,4,2499.68,1116.0404819420007,32000,18000
