execucao,tempo_total_ms,allreduce_ms
1,1604.5,0.280
2,1588.2,0.169
3,1513.7,0.169
4,1596.9,0.171
5,1621.7,0.318
6,1583.0,0.247
7,1595.3,0.163
8,1594.4,0.159
9,1574.6,0.153
10,1595.4,0.174
11,1695.5,0.191
12,1607.2,0.164
13,1595.7,0.169
14,1616.3,0.162
15,1584.0,0.165
16,1641.2,0.174
17,1582.0,0.166
18,1599.3,0.175
19,5254.6,0.168
20,1582.0,0.165
